########## Training Teacher ##########
Epoch: 0 val_Accuracy: 1.0
Epoch: 1 val_Accuracy: 1.0
Epoch: 2 val_Accuracy: 1.0
Epoch: 3 val_Accuracy: 1.0
Epoch: 4 val_Accuracy: 1.0
Epoch: 5 val_Accuracy: 1.0
Epoch: 6 val_Accuracy: 1.0
Epoch: 7 val_Accuracy: 1.0
Epoch: 8 val_Accuracy: 1.0
Epoch: 9 val_Accuracy: 1.0
Epoch: 10 val_Accuracy: 1.0
Epoch: 11 val_Accuracy: 1.0
Epoch: 12 val_Accuracy: 1.0
Epoch: 13 val_Accuracy: 1.0
Epoch: 14 val_Accuracy: 1.0
Epoch: 15 val_Accuracy: 1.0
Epoch: 16 val_Accuracy: 1.0
Epoch: 17 val_Accuracy: 1.0
Epoch: 18 val_Accuracy: 1.0
Epoch: 19 val_Accuracy: 1.0
########## Training Student ##########
